day,stage,bib,rank,time,bonus,penalty,start_location,start_country_code,start_country_name,start_region,finish_location,finish_country_code,finish_country_name,finish_region,length,type,rider,team,dob,rider_country_code,rider_country_name,rider_region,team_country_code,team_country_name,team_region
2025-07-08,5,204,90,2464,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Guillaume Boivin,ISRAEL - PREMIER TECH,1989-05-25,CAN,Canada,North America,ISR,Israel,Asia
2025-07-08,5,107,91,2465,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Gianni Vermeersch,ALPECIN-DECEUNINCK,1992-11-19,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-08,5,38,92,2469,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Marijn Van Den Berg,EF EDUCATION - EASYPOST,1999-07-19,NED,"Netherlands, Kingdom of the",Europe,USA,United States of America,North America
2025-07-08,5,164,93,2469,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Ion Izagirre,COFIDIS,1989-02-04,ESP,Spain,Europe,FRA,France,Europe
2025-07-08,5,187,94,2470,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Anthony Turgis,TOTALENERGIES,1994-05-16,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,36,95,2470,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Harrison Sweeny,EF EDUCATION - EASYPOST,1998-07-09,AUS,Australia,Oceania,USA,United States of America,North America
2025-07-08,5,218,96,2472,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Brent Van Moer,LOTTO,1998-01-12,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-08,5,162,97,2473,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Alex Aranburu,COFIDIS,1995-09-19,ESP,Spain,Europe,FRA,France,Europe
2025-07-08,5,142,98,2473,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,William Barta,MOVISTAR TEAM,1996-01-04,USA,United States of America,North America,ESP,Spain,Europe
2025-07-08,5,47,99,2474,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Roel Van Sintmaartensdijk,INTERMARCHÉ - WANTY,2001-05-08,NED,"Netherlands, Kingdom of the",Europe,BEL,Belgium,Europe
2025-07-08,5,17,100,2474,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Wout Van Aert,TEAM VISMA | LEASE A BIKE,1994-09-15,BEL,Belgium,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,8,101,2474,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Adam Yates,UAE TEAM EMIRATES XRG,1992-08-07,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,UAE,United Arab Emirates,Asia
2025-07-08,5,34,102,2474,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Alex Baudin,EF EDUCATION - EASYPOST,2001-05-25,FRA,France,Europe,USA,United States of America,North America
2025-07-08,5,96,103,2475,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Quentin Pacher,GROUPAMA-FDJ,1992-01-06,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,43,104,2475,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Vito Braet,INTERMARCHÉ - WANTY,2000-11-02,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-08,5,76,105,2476,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Mick Van Dijke,RED BULL - BORA - HANSGROHE,2000-03-15,NED,"Netherlands, Kingdom of the",Europe,GER,Germany,Europe
2025-07-08,5,202,106,2476,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Pascal Ackermann,ISRAEL - PREMIER TECH,1994-01-17,GER,Germany,Europe,ISR,Israel,Asia
2025-07-08,5,203,107,2476,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Joseph Blackmore,ISRAEL - PREMIER TECH,2003-02-23,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,ISR,Israel,Asia
2025-07-08,5,125,108,2477,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Luka Mezgec,TEAM JAYCO ALULA,1988-06-27,SLO,Slovenia,Europe,AUS,Australia,Oceania
2025-07-08,5,134,109,2478,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Arnaud Demare,ARKEA-B&B HOTELS,1991-08-26,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,223,110,2478,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Magnus Cort Nielsen,UNO-X MOBILITY,1993-01-16,DEN,Denmark,Europe,NOR,Norway,Europe
2025-07-08,5,158,111,2478,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Bastien Tronchon,DECATHLON AG2R LA MONDIALE TEAM,2002-03-29,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,97,112,2478,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Paul Penhoet,GROUPAMA-FDJ,2001-12-28,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,197,113,2479,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Tim Naberman,TEAM PICNIC POSTNL,1999-05-11,NED,"Netherlands, Kingdom of the",Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,81,114,2480,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Jonathan Milan,LIDL-TREK,2000-10-01,ITA,Italy,Europe,USA,United States of America,North America
2025-07-08,5,133,115,2480,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Ewen Costiou,ARKEA-B&B HOTELS,2002-11-10,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,165,116,2480,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Alexis Renard,COFIDIS,1999-06-01,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,157,117,2480,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Callum Scotson,DECATHLON AG2R LA MONDIALE TEAM,1996-08-10,AUS,Australia,Oceania,FRA,France,Europe
2025-07-08,5,136,118,2481,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Mathis Le Berre,ARKEA-B&B HOTELS,2001-04-16,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,176,119,2482,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Sergio Higuita,XDS ASTANA TEAM,1997-08-01,COL,Colombia,South America,KAZ,Kazakhstan,Asia
2025-07-08,5,18,120,2482,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Simon Yates,TEAM VISMA | LEASE A BIKE,1992-08-07,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,222,121,2482,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Jonas Abrahamsen,UNO-X MOBILITY,1995-09-20,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-08,5,148,122,2482,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Einer Rubio Reyes,MOVISTAR TEAM,1998-02-22,COL,Colombia,South America,ESP,Spain,Europe
2025-07-08,5,57,123,2483,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Robert Stannard,BAHRAIN VICTORIOUS,1998-09-16,AUS,Australia,Oceania,BRN,Bahrain,Asia
2025-07-08,5,145,124,2485,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Ivan Garcia Cortina,MOVISTAR TEAM,1995-11-20,ESP,Spain,Europe,ESP,Spain,Europe
2025-07-08,5,212,125,2485,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Jenno Berckmoes,LOTTO,2001-02-04,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-08,5,6,126,2485,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Marc Soler,UAE TEAM EMIRATES XRG,1993-11-22,ESP,Spain,Europe,UAE,United Arab Emirates,Asia
2025-07-08,5,114,127,2487,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Marc Hirschi,TUDOR PRO CYCLING TEAM,1998-08-24,SUI,Switzerland,Europe,SUI,Switzerland,Europe
2025-07-08,5,92,128,2487,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Lewis Askey,GROUPAMA-FDJ,2001-05-04,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,FRA,France,Europe
2025-07-08,5,205,129,2488,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Matis Louvel,ISRAEL - PREMIER TECH,1999-07-19,FRA,France,Europe,ISR,Israel,Asia
2025-07-08,5,124,130,2491,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Dylan Groenewegen,TEAM JAYCO ALULA,1993-06-21,NED,"Netherlands, Kingdom of the",Europe,AUS,Australia,Oceania
2025-07-08,5,207,131,2493,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Krists Neilands,ISRAEL - PREMIER TECH,1994-08-18,LAT,Latvia,Europe,ISR,Israel,Asia
2025-07-08,5,13,132,2494,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Tiesj Benoot,TEAM VISMA | LEASE A BIKE,1994-03-11,BEL,Belgium,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,183,133,2495,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Alexandre Delettre,TOTALENERGIES,1997-10-25,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,224,134,2497,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Stian Edvardsen-Fredheim,UNO-X MOBILITY,2003-03-23,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-08,5,215,135,2497,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Sébastien Grignard,LOTTO,1999-04-29,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-08,5,138,136,2499,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Clément Venturini,ARKEA-B&B HOTELS,1993-10-16,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,58,137,2500,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Fred Wright,BAHRAIN VICTORIOUS,1999-06-13,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,BRN,Bahrain,Asia
2025-07-08,5,146,138,2501,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Gregor Mühlberger,MOVISTAR TEAM,1994-04-04,AUT,Austria,Europe,ESP,Spain,Europe
2025-07-08,5,74,139,2502,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Gianni Moscon,RED BULL - BORA - HANSGROHE,1994-04-20,ITA,Italy,Europe,GER,Germany,Europe
2025-07-08,5,206,140,2502,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Alexey Lutsenko,ISRAEL - PREMIER TECH,1992-09-07,KAZ,Kazakhstan,Asia,ISR,Israel,Asia
2025-07-08,5,42,141,2503,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Louis Barre,INTERMARCHÉ - WANTY,2000-04-06,FRA,France,Europe,BEL,Belgium,Europe
2025-07-08,5,102,142,2503,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Silvan Dillier,ALPECIN-DECEUNINCK,1990-08-03,SUI,Switzerland,Europe,BEL,Belgium,Europe
2025-07-08,5,115,143,2504,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Fabian Lienhard,TUDOR PRO CYCLING TEAM,1993-09-03,SUI,Switzerland,Europe,SUI,Switzerland,Europe
2025-07-08,5,171,144,2504,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Harold Tejada,XDS ASTANA TEAM,1997-04-27,COL,Colombia,South America,KAZ,Kazakhstan,Asia
2025-07-08,5,84,145,2506,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Quinn Simmons,LIDL-TREK,2001-05-08,USA,United States of America,North America,USA,United States of America,North America
2025-07-08,5,228,146,2507,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Soren Waerenskjold,UNO-X MOBILITY,2000-03-12,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-08,5,16,147,2508,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Sepp Kuss,TEAM VISMA | LEASE A BIKE,1994-09-13,USA,United States of America,North America,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,198,148,2508,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Frank Van Den Broek,TEAM PICNIC POSTNL,2000-12-28,NED,"Netherlands, Kingdom of the",Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,226,149,2510,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Anders Johannessen,UNO-X MOBILITY,1999-08-23,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-08,5,208,150,2511,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Jake Stewart,ISRAEL - PREMIER TECH,1999-10-02,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,ISR,Israel,Asia
2025-07-08,5,172,151,2513,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Davide Ballerini,XDS ASTANA TEAM,1994-09-21,ITA,Italy,Europe,KAZ,Kazakhstan,Asia
2025-07-08,5,177,152,2514,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Mike Teunissen,XDS ASTANA TEAM,1992-08-25,NED,"Netherlands, Kingdom of the",Europe,KAZ,Kazakhstan,Asia
2025-07-08,5,216,153,2514,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Eduardo Sepulveda,LOTTO,1991-06-13,ARG,Argentina,South America,BEL,Belgium,Europe
2025-07-08,5,163,154,2516,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Bryan Coquard,COFIDIS,1992-04-25,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,83,155,2517,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Thibau Nys,LIDL-TREK,2002-11-12,BEL,Belgium,Europe,USA,United States of America,North America
2025-07-08,5,227,156,2518,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Andreas Leknessund,UNO-X MOBILITY,1999-05-21,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-08,5,188,157,2519,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Matteo Vercher,TOTALENERGIES,2001-01-26,FRA,France,Europe,FRA,France,Europe
2025-07-08,5,201,158,2520,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Michael Woods,ISRAEL - PREMIER TECH,1986-10-12,CAN,Canada,North America,ISR,Israel,Asia
2025-07-08,5,25,159,2523,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Valentin Paret Peintre,SOUDAL QUICK-STEP,2001-01-14,FRA,France,Europe,BEL,Belgium,Europe
2025-07-08,5,73,160,2523,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Jordi Meeus,RED BULL - BORA - HANSGROHE,1998-07-01,BEL,Belgium,Europe,GER,Germany,Europe
2025-07-08,5,174,161,2529,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Clément Champoussin,XDS ASTANA TEAM,1998-05-29,FRA,France,Europe,KAZ,Kazakhstan,Asia
2025-07-08,5,88,162,2532,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Edward Theuns,LIDL-TREK,1991-04-30,BEL,Belgium,Europe,USA,United States of America,North America
2025-07-08,5,52,163,2532,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Phil Bauhaus,BAHRAIN VICTORIOUS,1994-07-08,GER,Germany,Europe,BRN,Bahrain,Asia
2025-07-08,5,225,164,2533,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Markus Hoelgaard,UNO-X MOBILITY,1994-10-04,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-08,5,65,165,2534,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Axel Laurance,INEOS GRENADIERS,2001-04-13,FRA,France,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,Europe
2025-07-08,5,55,166,2535,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Lenny Martinez,BAHRAIN VICTORIOUS,2003-07-11,FRA,France,Europe,BRN,Bahrain,Asia
2025-07-08,5,178,167,2535,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Simone Velasco,XDS ASTANA TEAM,1995-12-02,ITA,Italy,Europe,KAZ,Kazakhstan,Asia
2025-07-08,5,26,168,2536,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Maximilian Schachmann,SOUDAL QUICK-STEP,1994-01-09,GER,Germany,Europe,BEL,Belgium,Europe
2025-07-08,5,56,169,2537,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Matej Mohoric,BAHRAIN VICTORIOUS,1994-10-19,SLO,Slovenia,Europe,BRN,Bahrain,Asia
2025-07-08,5,195,170,2539,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Tobias Lund Andresen,TEAM PICNIC POSTNL,2002-02-08,DEN,Denmark,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,68,171,2540,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Samuel Watson,INEOS GRENADIERS,2001-09-24,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,Europe
2025-07-08,5,173,172,2541,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Cees Bol,XDS ASTANA TEAM,1995-07-27,NED,"Netherlands, Kingdom of the",Europe,KAZ,Kazakhstan,Asia
2025-07-08,5,28,173,2541,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Ilan Van Wilder,SOUDAL QUICK-STEP,2000-05-14,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-08,5,175,174,2544,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Yevgeniy Fedorov,XDS ASTANA TEAM,2000-02-16,KAZ,Kazakhstan,Asia,KAZ,Kazakhstan,Asia
2025-07-08,5,53,175,2549,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Kamil Gradek,BAHRAIN VICTORIOUS,1990-09-17,POL,Poland,Europe,BRN,Bahrain,Asia
2025-07-08,5,193,176,2554,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Pavel Bittner,TEAM PICNIC POSTNL,2002-10-29,CZE,Czechia,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,14,177,2572,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Victor Campenaerts,TEAM VISMA | LEASE A BIKE,1991-10-28,BEL,Belgium,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-08,5,117,178,2582,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Michael Storer,TUDOR PRO CYCLING TEAM,1997-02-28,AUS,Australia,Oceania,SUI,Switzerland,Europe
2025-07-08,5,211,179,2617,0,0,Lannemezan,FRA,France,Europe,Pau,FRA,France,Europe,158,flat,Arnaud De Lie,LOTTO,2002-03-16,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-09,6,31,1,15850,10,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Ben Healy,EF EDUCATION - EASYPOST,2000-09-11,IRL,Ireland,Europe,USA,United States of America,North America
2025-07-09,6,84,2,16014,6,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Quinn Simmons,LIDL-TREK,2001-05-08,USA,United States of America,North America,USA,United States of America,North America
2025-07-09,6,117,3,16021,4,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Michael Storer,TUDOR PRO CYCLING TEAM,1997-02-28,AUS,Australia,Oceania,SUI,Switzerland,Europe
2025-07-09,6,122,4,16051,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Edward Dunbar,TEAM JAYCO ALULA,1996-09-01,IRL,Ireland,Europe,AUS,Australia,Oceania
2025-07-09,6,18,5,16054,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Simon Yates,TEAM VISMA | LEASE A BIKE,1992-08-07,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-09,6,142,6,16059,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,William Barta,MOVISTAR TEAM,1996-01-04,USA,United States of America,North America,ESP,Spain,Europe
2025-07-09,6,171,7,16082,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Harold Tejada,XDS ASTANA TEAM,1997-04-27,COL,Colombia,South America,KAZ,Kazakhstan,Asia
2025-07-09,6,106,8,16088,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Mathieu Van Der Poel,ALPECIN-DECEUNINCK,1995-01-19,NED,"Netherlands, Kingdom of the",Europe,BEL,Belgium,Europe
2025-07-09,6,1,9,16177,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Tadej Pogacar,UAE TEAM EMIRATES XRG,1998-09-21,SLO,Slovenia,Europe,UAE,United Arab Emirates,Asia
2025-07-09,6,11,10,16177,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Jonas Vingegaard,TEAM VISMA | LEASE A BIKE,1996-12-10,DEN,Denmark,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-09,6,15,11,16177,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Matteo Jorgenson,TEAM VISMA | LEASE A BIKE,1999-07-01,USA,United States of America,North America,NED,"Netherlands, Kingdom of the",Europe
2025-07-09,6,21,12,16177,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Remco Evenepoel,SOUDAL QUICK-STEP,2000-01-25,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-09,6,191,13,16177,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Oscar Onley,TEAM PICNIC POSTNL,2002-10-13,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-09,6,131,14,16177,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Kévin Vauquelin,ARKEA-B&B HOTELS,2001-04-26,FRA,France,Europe,FRA,France,Europe
2025-07-09,6,72,15,16177,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Florian Lipowitz,RED BULL - BORA - HANSGROHE,2000-09-21,GER,Germany,Europe,GER,Germany,Europe
2025-07-09,6,151,16,16177,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Félix Gall,DECATHLON AG2R LA MONDIALE TEAM,1998-02-27,AUT,Austria,Europe,FRA,France,Europe
2025-07-09,6,51,17,16182,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Santiago Buitrago,BAHRAIN VICTORIOUS,1999-09-26,COL,Colombia,South America,BRN,Bahrain,Asia
2025-07-09,6,141,18,16182,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Enric Mas,MOVISTAR TEAM,1995-01-07,ESP,Spain,Europe,ESP,Spain,Europe
2025-07-09,6,71,19,16182,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Primoz Roglic,RED BULL - BORA - HANSGROHE,1989-10-29,SLO,Slovenia,Europe,GER,Germany,Europe
2025-07-09,6,186,20,16182,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Jordan Jegat,TOTALENERGIES,1999-06-07,FRA,France,Europe,FRA,France,Europe
2025-07-09,6,176,21,16182,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Sergio Higuita,XDS ASTANA TEAM,1997-08-01,COL,Colombia,South America,KAZ,Kazakhstan,Asia
2025-07-09,6,221,22,16182,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Tobias Johannessen,UNO-X MOBILITY,1999-08-23,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-09,6,2,23,16182,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Joao Almeida,UAE TEAM EMIRATES XRG,1998-08-05,POR,Portugal,Europe,UAE,United Arab Emirates,Asia
2025-07-09,6,54,24,16190,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Jack Haig,BAHRAIN VICTORIOUS,1993-09-06,AUS,Australia,Oceania,BRN,Bahrain,Asia
2025-07-09,6,66,25,16193,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Carlos Rodriguez,INEOS GRENADIERS,2001-02-02,ESP,Spain,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,Europe
2025-07-09,6,161,26,16193,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Emanuel Buchmann,COFIDIS,1992-11-18,GER,Germany,Europe,FRA,France,Europe
2025-07-09,6,137,27,16198,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Cristian Rodriguez,ARKEA-B&B HOTELS,1995-03-03,ESP,Spain,Europe,FRA,France,Europe
2025-07-09,6,91,28,16198,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Guillaume Martin Guyonnet,GROUPAMA-FDJ,1993-06-09,FRA,France,Europe,FRA,France,Europe
2025-07-09,6,94,29,16212,0,0,Pau,FRA,France,Europe,Gavarnie-Gèdre,FRA,France,Europe,186,mountain,Romain Gregoire,GROUPAMA-FDJ,2003-01-21,FRA,France,Europe,FRA,France,Europe
